trial_id,side_bias,song_pair,long,short,pre,trial,post,trial_long,trial_short
1,non-preferred arm,pair 1,43.04,28.04,36,58,31.33333,16.95,5.95
2,non-preferred arm,pair 1,43.04,28.04,21.666667,59.333333,20,17.35,8.25
3,non-preferred arm,pair 1,43.04,28.04,0,37.333333,0,10.95,4
4,non-preferred arm,pair 1,43.04,28.04,27.333333,49.666667,15.33333,14.5,10.4
5,non-preferred arm,pair 1,43.04,28.04,17.666667,62,64.33333,18.1,8.5
6,non-preferred arm,pair 1,43.04,28.04,39.666667,60.333333,69.33333,17.6,3.4
7,non-preferred arm,pair 2,49.8,19.51,1.666667,35.666667,60.33333,10.45,14.15
8,non-preferred arm,pair 2,49.8,19.51,16.333333,28,11.33333,8.15,16.9
9,non-preferred arm,pair 3,36.44,30.72,15.5,62,65.33333,11.1,10.5
10,non-preferred arm,pair 3,36.44,30.72,42.6666667,57.6666667,15,16.85,11.4
13,non-preferred arm,pair 2,49.8,19.51,69.6666667,98.3333333,74,28.75,0
11,preferred arm,pair 3,36.44,30.72,36.6666667,94,37,27.6,1.65
12,preferred arm,pair 3,36.44,30.72,72.6666667,100,76.66667,29.2,0